OBJECTID,NAME,MUNI_TYPE,MUNITYCODE,COUNTY,GNIS_ID,FIPS_CODE,SWIS,POP1990,POP2000,POP2010,POP2020,DOS_LL,DOSLL_DATE,MAP_SYMBOL,CALC_SQ_MI,DATEMOD
27,Annsville,town,2,Oneida,978683,3606502253,302000,2786,2956,3012,2639,,,T,60.36631954,2017/10/06 00:00:00+00
28,Antwerp,town,2,Jefferson,978684,3604502297,222400,1856,1793,1846,1683,,,T,108.2851759,2018/11/06 00:00:00+00
29,Arcade,town,2,Wyoming,978685,3612102418,562000,3938,4184,4205,4187,,,T,47.12493691,
30,Arcadia,town,2,Wayne,978686,3611702440,542000,14855,14889,14244,13731,,,T,52.23059685,2018/02/08 00:00:00+00
31,Argyle,town,2,Washington,978687,3611502561,532000,3031,3688,3782,3644,,,T,57.79271166,2018/09/06 00:00:00+00
32,Arietta,town,2,Hamilton,978688,3604102572,202000,300,293,304,292,,,T,328.98004679,2018/11/01 00:00:00+00
33,Arkwright,town,2,Chautauqua,978689,3601302605,062000,1040,1126,1061,1008,,,T,35.76190916,
34,Ashford,town,2,Cattaraugus,978690,3600902759,042200,2162,2223,2132,1961,,,T,51.40397147,
35,Ashland,town,2,Greene,978692,3603902803,192000,803,752,784,682,,,T,24.9814372,2020/05/19 00:00:00+00
36,Ashland,town,2,Chemung,978691,3601502781,072000,1966,1951,1695,1510,,,T,14.90899789,2019/04/26 00:00:00+00
37,Athens,town,2,Greene,978693,3603902913,192200,3561,3991,4089,3916,,,T,28.88403955,
38,Attica,town,2,Wyoming,978694,3612103012,562200,7383,6028,7702,5790,,,T,36.09861994,2017/12/12 00:00:00+00
39,Auburn,city,1,Cayuga,978695,3601103078,050100,31258,28574,27687,26866,,,1,8.3892378,2018/02/23 00:00:00+00
40,Augusta,town,2,Oneida,978696,3606503155,302200,2070,1966,2020,2021,,,T,27.71687892,2018/03/09 00:00:00+00
41,Aurelius,town,2,Cayuga,978697,3601103166,052000,2913,2936,2792,2611,,,T,31.99640918,2018/02/23 00:00:00+00
42,Aurora,town,2,Erie,978698,3602903199,142400,13433,13996,13782,13943,,,T,36.50408572,
43,AuSable,town,2,Clinton,978699,3601903221,092200,2870,3015,3146,3183,,,T,43.54634703,2018/12/07 00:00:00+00
44,Austerlitz,town,2,Columbia,978700,3602103287,102200,1456,1453,1654,1625,,,T,48.87059177,2018/01/22 00:00:00+00
45,Ava,town,2,Oneida,978701,3606503309,302400,792,725,676,680,,,T,37.85638099,2017/06/28 00:00:00+00
46,Avoca,town,2,Steuben,978702,3610103342,462200,2269,2314,2264,1990,,,T,36.52613946,2018/03/01 00:00:00+00
47,Avon,town,2,Livingston,978703,3605103364,242000,6283,6443,7164,6939,,,T,41.2645826,2018/01/25 00:00:00+00
48,Babylon,town,2,Suffolk,978704,3610304000,472000,202889,211792,213603,218223,,,T,102.1086656,
49,Bainbridge,town,2,Chenango,978705,3601704044,082200,3445,3401,3308,3060,,,T,34.76409659,
50,Baldwin,town,2,Chemung,978706,3601504132,072200,829,853,832,812,,,T,25.81106007,
51,Ballston,town,2,Saratoga,978707,3609104220,412000,8078,8729,9776,11831,,,T,30.07021907,2017/11/10 00:00:00+00
52,Bangor,town,2,Franklin,978708,3603304319,162200,2080,2147,2224,2231,,,T,43.06130879,2018/07/24 00:00:00+00
